CONVEYOR_NAME|ID|LABEL|BODY
CountingConveyorService|counter1001|_NAMES_|["c1","c2"]
CountingConveyorService|counter1001|c1_EXPECTED|6
CountingConveyorService|counter1001|c1|1
CountingConveyorService|counter1001|c1|1
CountingConveyorService|counter1001|c1|1
CountingConveyorService|counter1001|c1|1
CountingConveyorService|counter1001|c1|1
CountingConveyorService|counter1001|c1|1
CountingConveyorService|counter1001|c2_EXPECTED|8
CountingConveyorService|counter1001|c2|1
CountingConveyorService|counter1001|c2|1
CountingConveyorService|counter1001|c2|1
CountingConveyorService|counter1001|c2|1
CountingConveyorService|counter1001|c2|1
CountingConveyorService|counter1001|c2|1
CountingConveyorService|counter1001|c2|1
CountingConveyorService|counter1001|c2|1
CountingConveyorService|counter1002|_NAMES_|["c1","c2"]
CountingConveyorService|counter1002|c1_EXPECTED|2
CountingConveyorService|counter1002|c1|1
CountingConveyorService|counter1002|c1|1
CountingConveyorService|counter1002|c2_EXPECTED|1
CountingConveyorService|counter1002|c2|1
CountingConveyorService|counter1003|_NAMES_|["c1","c2"]
CountingConveyorService|counter1003|c1_EXPECTED|2
CountingConveyorService|counter1003|c1|1
CountingConveyorService|counter1003|c1|1
CountingConveyorService|counter1003|c2_EXPECTED|5
CountingConveyorService|counter1003|c2|1
CountingConveyorService|counter1003|c2|1
CountingConveyorService|counter1003|c2|1
CountingConveyorService|counter1003|c2|1
CountingConveyorService|counter1003|c2|1
CountingConveyorService|counter1004|_NAMES_|["c1","c2","c3"]
CountingConveyorService|counter1004|c1_EXPECTED|7
CountingConveyorService|counter1004|c1|1
CountingConveyorService|counter1004|c1|1
CountingConveyorService|counter1004|c1|1
CountingConveyorService|counter1004|c1|1
CountingConveyorService|counter1004|c1|1
CountingConveyorService|counter1004|c1|1
CountingConveyorService|counter1004|c1|1
CountingConveyorService|counter1004|c2_EXPECTED|5
CountingConveyorService|counter1004|c2|1
CountingConveyorService|counter1004|c2|1
CountingConveyorService|counter1004|c2|1
